"siteid","treatmentid","v_year_measure","replicate","speciesid","speciesorigin","response","responselevel","responsemetric","measurementscale","measurementmetric"
62,"1_62",2007,6,"Lam_pur","exotic",4.1,"species","cover","1","m2"
62,"1_62",2007,16,"Hyp_rad","exotic",4.1,"species","cover","1","m2"
62,"1_62",2007,15,"Bro_ste","exotic",3.8,"species","cover","1","m2"
62,"1_62",2007,15,"G_Bro_spp","exotic",3.8,"species","cover","1","m2"
62,"1_62",2007,15,"Ver_arv","exotic",3.5,"species","cover","1","m2"
62,"1_62",2007,4,"Cyt_sco","exotic",3.2,"species","cover","1","m2"
62,"1_62",2007,9,"Hyp_rad","exotic",3.2,"species","cover","1","m2"
62,"1_62",2007,10,"Cyt_sco","exotic",3.2,"species","cover","1","m2"
62,"1_62",2007,2,"Cyt_sco","exotic",2.9,"species","cover","1","m2"
62,"1_62",2007,15,"Hyp_rad","exotic",2.9,"species","cover","1","m2"
62,"1_62",2007,16,"Vic_hir","exotic",2.7,"species","cover","1","m2"
62,"1_62",2007,10,"Rum_ace","exotic",2.5,"species","cover","1","m2"
62,"1_62",2007,4,"Poa_com","exotic",2.3,"species","cover","1","m2"
62,"1_62",2007,14,"Ant_odo","exotic",2.3,"species","cover","1","m2"
62,"1_62",2007,12,"Bro_ste","exotic",2.2,"species","cover","1","m2"
62,"1_62",2007,12,"G_Bro_spp","exotic",2.2,"species","cover","1","m2"
62,"1_62",2007,14,"Hyp_rad","exotic",2.1,"species","cover","1","m2"
62,"1_62",2007,2,"Air_car","exotic",2,"species","cover","1","m2"
62,"1_62",2007,4,"Bro_ste","exotic",1.9,"species","cover","1","m2"
62,"1_62",2007,4,"G_Bro_spp","exotic",1.9,"species","cover","1","m2"
62,"1_62",2007,4,"Hyp_rad","exotic",1.9,"species","cover","1","m2"
62,"1_62",2007,8,"Rum_ace","exotic",1.9,"species","cover","1","m2"
62,"1_62",2007,12,"Vic_hir","exotic",1.9,"species","cover","1","m2"
62,"1_62",2007,16,"Bro_rig","exotic",1.9,"species","cover","1","m2"
62,"1_62",2007,16,"Poa_com","exotic",1.9,"species","cover","1","m2"
62,"1_62",2007,4,"Lam_pur","exotic",1.8,"species","cover","1","m2"
62,"1_62",2007,9,"Bro_hor","exotic",1.8,"species","cover","1","m2"
62,"1_62",2007,9,"Ant_odo","exotic",1.7,"species","cover","1","m2"
62,"1_62",2007,16,"Ant_odo","exotic",1.7,"species","cover","1","m2"
62,"1_62",2007,16,"Dac_glo","exotic",1.6,"species","cover","1","m2"
62,"1_62",2007,4,"Ger_dis","exotic",1.4,"species","cover","1","m2"
62,"1_62",2007,10,"Hyp_rad","exotic",1.3,"species","cover","1","m2"
62,"1_62",2007,3,"Cyt_sco","exotic",1.1,"species","cover","1","m2"
62,"1_62",2007,4,"Dac_glo","exotic",1,"species","cover","1","m2"
62,"1_62",2007,2,"Rum_ace","exotic",0.9,"species","cover","1","m2"
62,"1_62",2007,9,"Poa_pra","exotic",0.9,"species","cover","1","m2"
62,"1_62",2007,12,"Ant_odo","exotic",0.8,"species","cover","1","m2"
62,"1_62",2007,12,"Card_hir","exotic",0.8,"species","cover","1","m2"
62,"1_62",2007,2,"Hyp_rad","exotic",0.7,"species","cover","1","m2"
62,"1_62",2007,7,"Vic_sat","exotic",0.7,"species","cover","1","m2"
62,"1_62",2007,8,"Lam_pur","exotic",0.7,"species","cover","1","m2"
62,"1_62",2007,10,"Ste_med","exotic",0.7,"species","cover","1","m2"
62,"1_62",2007,3,"Hyp_rad","exotic",0.6,"species","cover","1","m2"
62,"1_62",2007,7,"Lam_pur","exotic",0.6,"species","cover","1","m2"
62,"1_62",2007,12,"Poa_pra","exotic",0.6,"species","cover","1","m2"
62,"1_62",2007,12,"Ste_med","exotic",0.6,"species","cover","1","m2"
62,"1_62",2007,12,"Ver_arv","exotic",0.6,"species","cover","1","m2"
62,"1_62",2007,15,"Ste_med","exotic",0.6,"species","cover","1","m2"
62,"1_62",2007,6,"Card_hir","exotic",0.5,"species","cover","1","m2"
62,"1_62",2007,8,"Ste_med","exotic",0.5,"species","cover","1","m2"
62,"1_62",2007,15,"Ant_odo","exotic",0.5,"species","cover","1","m2"
62,"1_62",2007,4,"Vic_sat","exotic",0.4,"species","cover","1","m2"
62,"1_62",2007,12,"Cyt_sco","exotic",0.4,"species","cover","1","m2"
62,"1_62",2007,4,"Ant_odo","exotic",0.3,"species","cover","1","m2"
62,"1_62",2007,4,"Ero_cic","exotic",0.3,"species","cover","1","m2"
62,"1_62",2007,9,"Card_hir","exotic",0.3,"species","cover","1","m2"
62,"1_62",2007,11,"Cyt_sco","exotic",0.3,"species","cover","1","m2"
62,"1_62",2007,11,"Rum_ace","exotic",0.3,"species","cover","1","m2"
62,"1_62",2007,12,"Vic_sat","exotic",0.3,"species","cover","1","m2"
62,"1_62",2007,16,"Card_hir","exotic",0.3,"species","cover","1","m2"
62,"1_62",2007,4,"Ger_mol","exotic",0.2,"species","cover","1","m2"
62,"1_62",2007,11,"Air_pra","exotic",0.2,"species","cover","1","m2"
62,"1_62",2007,12,"Ger_mol","exotic",0.2,"species","cover","1","m2"
62,"1_62",2007,14,"Bro_ste","exotic",0.2,"species","cover","1","m2"
62,"1_62",2007,14,"Cyt_sco","exotic",0.2,"species","cover","1","m2"
62,"1_62",2007,14,"G_Bro_spp","exotic",0.2,"species","cover","1","m2"
62,"1_62",2007,16,"Vic_sat","exotic",0.2,"species","cover","1","m2"
62,"1_62",2007,4,"Card_hir","exotic",0.1,"species","cover","1","m2"
62,"1_62",2007,4,"Hyp_gla","exotic",0.1,"species","cover","1","m2"
62,"1_62",2007,6,"Vic_sat","exotic",0.1,"species","cover","1","m2"
62,"1_62",2007,9,"Air_pra","exotic",0.1,"species","cover","1","m2"
62,"1_62",2007,9,"Cyt_sco","exotic",0.1,"species","cover","1","m2"
62,"1_62",2007,9,"Tee_nud","exotic",0.1,"species","cover","1","m2"
62,"1_62",2007,11,"Air_car","exotic",0.1,"species","cover","1","m2"
62,"1_62",2007,12,"Air_pra","exotic",0.1,"species","cover","1","m2"
62,"1_62",2007,15,"Rum_ace","exotic",0.1,"species","cover","1","m2"
