Order_Calc_Split,Year,Date,Work_Site,Location,Area Cleared (m2) orig,Area Cleared (m2),Biomass Removed (m3) orig,Biomass Removed (m3),Data_Change_Assumptions,Invasive_Species_Cleared_orig,Invasive_Species_Cleared,Crew_Hours,Notes
7,2023,30-Aug,Oak Haven Park,"1257 Garden Gate Dr, Brentwood Bay, BC V8M 2H6",400,400.0,7,7.0,,Daphne,Daphne,45,
15,2022,14-Oct,Oak Haven Park,"1266 Garden Gate Dr, Brentwood Bay, BC V8M 2H6",400,400.0,5,5.0,,Daphne,Daphne,15,
23,2022,03-Nov,Oak Haven Park,"1273 Garden Gate Dr, Brentwood Bay, BC V8M 2H6",400,400.0,4,4.0,,Daphne,Daphne,22.5,
24,2022,07-Nov,Oak Haven Park,"1274 Garden Gate Dr, Brentwood Bay, BC V8M 2H6",400,400.0,3,3.0,,Daphne,Daphne,22.5,
73,2023,12-Jun,Camas Hill,-,400,400.0,8,8.0,,Scotch broom,Scotch broom,37.5,Site Orientation Day - Meet Graham and Shelley - Covenant Monitoring
74,2023,13-Jun,Camas Hill,-,400,400.0,10,10.0,,Scotch broom,Scotch broom,28.5,Vanessa left early for appointment (used banked hours). Aislyn in office. 
76,2023,15-Jun,Camas Hill,-,400,400.0,10,10.0,,Scotch broom,Scotch broom,28,
89,2023,29-Aug,Camas Hill,-,400,400.0,8,8.0,,Scotch broom,Scotch broom,37.5,
64,2025,21-May,Camas Hill,-,447.5,447.5,3,3.0,,Scotch Broom ,Scotch broom,22.5,"Removed scotch broom regrowth and some mature broom from SLO-4Polygom. Also flagged extent of SLO, SAR population. Some areas within contain denser patches, others are more sparsely distributed. Some maybe misidentified as nodding onion. SLO seem to grow in gully areas, more dense around rocks and larger individuals in moist areas. Neal & Gavin will return to do a species count when SLO are in bloom. They can reflag population and re-map extent then. "
85,2024,13-Aug,Yates,-,466,466.0,2,2.0,,Scotch Broom ,Scotch broom,30,Removed sm-lrg scotch broom. 
50,2024,11-Oct,Matson Conservation Area,https://maps.app.goo.gl/MN9fpJThnJ7iHBCs9,490,490.0,3,3.0,,Orchard grass,Orchard grass,22.5,"Swept area and removed orchard grass, completed mowing and seeding of Exclosure #2  "
27,2022,14-Nov,Oak Haven Park,"1277 Garden Gate Dr, Brentwood Bay, BC V8M 2H6",500,500.0,3,3.0,,Daphne,Daphne,22.5,
118,2025,06-May,Oak Haven Park,"1251 Garden Gate Dr, Brentwood Bay, BC V8M 2H6",509.9,509.9, , ,,Shiny geranium,Shiny geranium,25,"Completed removing shiny geranium from polygon 6 in one day on north side of trail near SAR population. Patch dense near SAR population and then sparsely spread towards the west area of polygon A lot of the geranium was large, very easy to pull, and flowering. Appears that the area has been treated before, likely by CRD. There was one patch of dense geranium in high snowberry and sparse individuals throughout. Them started removing shiny g from south side of trail , polygon 7. Shiny g dense in some areas, spares in others. Area treated by HAT crew in 2023, and possibly CRD when they cut back snowberry. "
56,2025,17-Apr,Yates,-,511,511.0,4.7,4.7,,Scotch Broom ,Scotch broom,27.5,Crew manually removed scotch broom by pulling and cutting under soil. Removed from SB4.3 that contans  larger mature flowering broom and smaller densely packed flowering brooms. There has been deer browsing so broom appears small but has flower buds. 
93,2025,15-Sep,Purple Sanicle,-,545,545.0,0.8,0.8,,Scotch broom ,Scotch broom,30,"Swept though 2024 treated patches to remove (pretty sparse!) broom regrowth in purple sanicle areas. Moved on to increase buffer zones around purple sanicle, then to area containing chocolate lily. Most broom small to medium sized.  "
55,2025,16-Apr,Yates,-,552,552.0,3.1,3.1,,Scotch Broom,Scotch broom,37.5,Crew manually removed scotch broom by pulling and cutting under soil. Removed from SB5 that comains patches of chocolate lily. Then from SB4.2 that contans  larger mature flowering broom and smaller densely packed flowering brooms. There has been deer browsing so broom appears small but has flower buds. 
91,2025,10-Sep,Calypso Woods,-,594.84,594.8,3,3.0,,Scotch broom ,Scotch broom,30,Crew removed large dense patch of regrowth or medium sized new growth scotch broom that has gone to seed in the most SW end of the covenant. They also began removing from a smaller patch right on the edge of the covenant boundary but didn't fully complete removal. They put biomass into two piles in carefully chosen ares to not smother native plants.  
88,2023,28-Aug,Camas Hill,-,650,650.0,10,10.0,,Scotch broom,Scotch broom,30,Neal off/Lauren crew lead 
54,2025,15-Apr,Yates,-,666,666.0,2.2,2.2,,Scotch broom,Scotch broom,37.5,"Pulling and cutting mature broom on steep slope then switching to flat road with more gravelly soil, used mostly loppers and secateurs cutting below first lateral root or hamd pulling small one that did not disturb soil. Finished SB3, then for an hour at end of day started SB4. "
66,2025,26-May,Camas Hill,-,719.3,719.3,4.5,4.5,,Scotch Broom ,Scotch broom,30,"Scotch broom manually removed (loppers, secateurs, below first lateral root) in sharp tailed snake area, focusing on creating a buffer around ACO’s"
8,2022,09-Sep,Oak Haven Park,"1253 Garden Gate Dr, Brentwood Bay, BC V8M 2H6",750,750.0,2,2.0,,Daphne,Daphne,22.5,
61,2025,16-May,Camas Hill,-,814,814.0,1.2,1.2,,scotch broom ,Scotch broom,22.5,Removed scotch broom regrowth from area within polygon 4-SLO from  CESI 2001 report which contains Slim leaf onion population. Scotch broom was small to medium sized and sparse. Broom was pulled or cut below soil. Biomass was left in spice bags in an area free of native plants because covenant too sensitive currently to roll bags down hill. Crew will return in fall to remove bags. SLO was found and mapped on gaia in the polygon. 
68,2023,01-Jun,Yates,-,900,900.0,1.75,1.8,,Scotch broom,Scotch broom,37.5,
67,2023,29-May,Yates,-,1000,1000.0,2.5,2.5,,Scotch broom,Scotch broom,37.5,Broom sweep over old logging road; targeted blooming broom plants.
63,2024,21-May,Yates,-,1015,1015.0,8,8.0,,Scotch Broom ,Scotch broom,30,"Removed flowering broom, left smaller non- flowering broom "
59,2025,09-May,Camas Hill,-,1237,1237.0,1.5,1.5,,Scotch broom ,Scotch broom,22.5,Removed scotch broom from area that contains 2 slim leaf onion patches observed in 2024. Area to camas hill too sensitive to drag or roll spice bags down hill so leaving on site to return in late summer and remove. 
57,2025,21-Apr,Yates,-,1370,1370.0,5,5.0,,Scotch Broom,Scotch broom,37.5,Removed dense patches containing flowering scotch broom in SB4.4 & SB4.5. Removed dense patch (SB6.1) of small browsed flowering scotch broom and plants that contain mangos. 
65,2024,23-May,Yates,-,1451,1451.0,6,6.0,,Scotch Broom ,Scotch broom,22.5,"Removed flowering broom, left smaller non- flowering broom "
60,2025,12-May,Camas Hill,-,1460,1460.0,2.5,2.5,,Scotch Broom ,Scotch broom,30,Removed scotch broom regrowth from area within polygon 4-SLO from  CESI 2001 report which contains Slim leaf onion population. Scotch broom was small to medium sized and sparse. Broom was pulled or cut below soil. Biomass was left in spice bags in an area free of native plants because covenant too sensitive currently to roll bags down hill. Crew will return in fall to remove bags. 
77,2023,20-Jun,Funk,-,1513,1513.0,5,5.0,,Scotch broom,Scotch broom,34.5,Mt. Matheson Monitoring (Gilbert/Funk) (whole crew)
58,2025,22-Apr,Yates,-,1587,1587.0,2,2.0,,Scotch broom,Scotch broom,33,"continued in SB6 removing area with small dense flowering broom, and medium flowering broom. Manual removal of flowering, with buds, and woody small plants."
53,2025,14-Apr,Yates,-,1799,1799.0,2,2.0,,Scotch Broom,Scotch broom,37.5,Swept north areas of Site-D & F for flowering scotch broom. Removed manually-pulling and. Cutting under soil with loppers or seccateurs. 
87,2024,15-Aug,Yates,-,2193,2193.0,1.5,1.5,,Scotch Broom ,Scotch broom,30,Removed lrg flower broom in Site B & sm-lrg broom in Site F. 
69,2024,03-Jun,Yates,-,2559,2559.0,3,3.0,,Scotch Broom ,Scotch broom,22.5,"Removed flowering broom, left smaller non- flowering broom "
70,2024,04-Jun,Yates,-,2714,2714.0,3.5,3.5,,Scotch Broom ,Scotch broom,30,"Removed flowering broom, left smaller non- flowering broom "
90,2024,03-Sep,Funk,-,3549,3549.0,4,4.0,,Scotch Broom ,Scotch broom,30,Removed broom regrowth from area cleared by HAT last year; removed mature broom from other areas on property
92,2025,11-Sep,Yates,-,3757,3757.0,0.7,0.7,,Scotch broom ,Scotch broom,22.5,"Crew helped build pond inflow walls using logs, rocks, and soil. Then, they swept various areas, highlighted by Morgan, removing daphne, scotch broom, holly, and some cyclamen. They left biomass in burn piles for Morgan separating the daphne and Holly to be disposed of serparatly..  "
72,2024,07-Jun,Yates,-,5223,5223.0,3,3.0,,Scotch Broom ,Scotch broom,30,Removed flowering broom and lrg non- flowering broom in shady areas 
84,2025,13-Aug,Funk,-,5344.7,5344.7,3,3.0,,Scotch broom ,Scotch broom,22.5,"Crew and Funk family members swept certain areas of the property removing scotch broom regrowth. Lauren- for mapping add large meadow area from 2023&2024 to mao as an area we swept this year as well, note that in that area regrowth was extremely sparse  and small and has significantly decreased in regrowth since 2023 & 2024. "
1,2025,18-Sep,Matson Conservation Area,https://maps.app.goo.gl/MN9fpJThnJ7iHBCs9,448,224.0,0.3,0.2,"estimate 1/2 of biomass, area, and work hours","Creeping buttercup, Reed canary grass",Creeping buttercup,18,"Crew started off removing creeping buttercup from outflow, wet land area, did not complete that area. Then crew moved onto removing reed canary grass from west end of covenant in deer Exclosure area and woodland area leading up to path.  "
6,2023,21-Aug,Oak Haven Park,"1255 Garden Gate Dr, Brentwood Bay, BC V8M 2H6",500,250.0,4,2.0,"estimate 1/2 of biomass, area, and work hours","Daphne, English Ivy",Daphne,40,
9,2022,15-Sep,Oak Haven Park,"1257 Garden Gate Dr, Brentwood Bay, BC V8M 2H6",2400,1200.0,5,2.5,"estimate 1/2 of biomass, area, and work hours","Daphne, English Ivy",Daphne,30,
13,2022,11-Oct,Oak Haven Park,"1264 Garden Gate Dr, Brentwood Bay, BC V8M 2H6",500,250.0,8,4.0,"estimate 1/2 of biomass, area, and work hours","Blackberry, Daphne",Daphne,22.5,
33,2023,21-Aug,Oak Haven Park,"1255 Garden Gate Dr, Brentwood Bay, BC V8M 2H6",500,250.0,4,2.0,"estimate 1/2 of biomass, area, and work hours","Daphne, English Ivy",English Ivy,40,
37,2022,15-Sep,Oak Haven Park,"1257 Garden Gate Dr, Brentwood Bay, BC V8M 2H6",2400,1200.0,5,2.5,"estimate 1/2 of biomass, area, and work hours","Daphne, English Ivy",English Ivy,30,
45,2022,11-Oct,Oak Haven Park,"1264 Garden Gate Dr, Brentwood Bay, BC V8M 2H6",500,250.0,8,4.0,"estimate 1/2 of biomass, area, and work hours","Blackberry, Daphne",Himalayan blackberry,22.5,
